chembl_id,smiles,target,assay_type,value,unit,relation,pchembl_value
CHEMBL1256025,Br.N=C(N)SCCN,CHEMBL1075094,Potency,29092.9,nM,,
CHEMBL1256025,Br.N=C(N)SCCN,CHEMBL1741193,Potency,17782.8,nM,,
CHEMBL1256025,Br.N=C(N)SCCN,CHEMBL6035,Potency,79432.8,nM,,
CHEMBL1256025,Br.N=C(N)SCCN,CHEMBL1075138,Potency,14581.0,nM,,
CHEMBL1256025,Br.N=C(N)SCCN,CHEMBL1075138,Potency,23109.3,nM,,
CHEMBL1256026,CC(=O)NCCc1ccc(O)c(O)c1.O,CHEMBL364,IC50,10000.0,nM,=,5.00
CHEMBL1256026,CC(=O)NCCc1ccc(O)c(O)c1.O,CHEMBL364,IC50,10000.0,nM,=,5.00
CHEMBL1256026,CC(=O)NCCc1ccc(O)c(O)c1.O,CHEMBL364,IC50,10000.0,nM,=,5.00
CHEMBL1256026,CC(=O)NCCc1ccc(O)c(O)c1.O,CHEMBL364,IC50,10000.0,nM,=,5.00
CHEMBL1256026,CC(=O)NCCc1ccc(O)c(O)c1.O,CHEMBL364,IC50,12589.25,nM,=,4.90
CHEMBL356026,Cc1nc(-c2ccccn2)c(-c2ccccc2C)s1,CHEMBL3919,Inhibition,48.0,%,=,
