smiles,name,category,chain_length,source,NR-AR,NR-AR-LBD,NR-AhR,SR-HSE,SR-MMP,SR-p53,BCF,Biodegradability
OC(=O)C(F)(F)C(F)(F)F,PFCA-C3,PFCA,3,systematic,0,1,0,0,0,0,2.5737638446522175,1
OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C4,PFCA,4,systematic,0,1,0,0,0,0,2.5302304187458726,1
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C5,PFCA,5,systematic,0,0,0,0,0,0,2.2275927773436366,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C6,PFCA,6,systematic,1,0,0,0,0,0,2.2763088895994126,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C7,PFCA,7,systematic,0,1,1,1,0,0,2.7194880163311814,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C8,PFCA,8,systematic,0,0,0,1,0,1,3.6556834553526816,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C9,PFCA,9,systematic,0,0,1,0,1,1,3.521539973998623,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C10,PFCA,10,systematic,0,0,0,0,1,0,3.551410484356991,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C11,PFCA,11,systematic,1,0,1,0,0,1,3.4969233999082125,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C12,PFCA,12,systematic,0,1,1,1,1,0,4.083502886652261,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C13,PFCA,13,systematic,0,0,1,1,1,0,3.7680995077981914,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C14,PFCA,14,systematic,1,1,1,0,0,1,3.9411380127757996,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFCA-C15,PFCA,15,systematic,1,1,1,0,1,1,4.526114120471451,0
OS(=O)(=O)C(F)(F)C(F)(F)F,PFSA-C3,PFSA,3,systematic,0,0,1,0,0,0,2.3102977948602397,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C4,PFSA,4,systematic,0,0,0,0,1,0,2.874620635310622,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C5,PFSA,5,systematic,1,0,1,0,1,1,2.8986253328979052,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C6,PFSA,6,systematic,0,0,0,0,1,0,2.203447185730959,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C7,PFSA,7,systematic,0,0,1,0,1,1,3.30365538316663,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C8,PFSA,8,systematic,0,1,1,0,1,0,3.418069062982308,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C9,PFSA,9,systematic,0,0,1,0,0,0,4.338972633745586,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C10,PFSA,10,systematic,1,0,1,1,0,1,4.2208382932808295,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C11,PFSA,11,systematic,1,1,0,1,0,0,3.5794446811623155,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C12,PFSA,12,systematic,0,1,1,0,1,0,3.8813088858821687,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFSA-C13,PFSA,13,systematic,1,0,1,0,1,0,4.542077729190554,0
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)F,PFECDA-E1,PFECDA,4,systematic,0,0,0,0,0,0,1.8177550296316316,1
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,PFECDA-E2,PFECDA,6,systematic,1,0,0,0,0,1,2.7553901575596913,0
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,PFECDA-E3,PFECDA,8,systematic,0,1,0,0,0,1,3.659732353343427,0
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,PFECDA-E4,PFECDA,10,systematic,0,0,1,0,0,1,3.6421498762735363,0
OC(=O)C(F)(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,PFECDA-E5,PFECDA,12,systematic,0,0,1,0,0,1,4.0877002043295025,1
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)F,Cl-PFSA-C5,Cl-PFAES,5,systematic,1,0,0,1,0,1,2.2428527330751153,1
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)F,Cl-PFSA-C6,Cl-PFAES,6,systematic,1,0,0,1,0,0,2.913032772109186,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)F,Cl-PFSA-C7,Cl-PFAES,7,systematic,1,0,1,1,0,0,2.9277436614653296,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)F,Cl-PFSA-C8,Cl-PFAES,8,systematic,1,1,1,1,0,0,3.254510580162598,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)F,Cl-PFSA-C9,Cl-PFAES,9,systematic,1,1,1,0,1,1,3.4541357852736625,0
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Cl)F,Cl-PFSA-C10,Cl-PFAES,10,systematic,1,1,1,0,1,0,3.354390935651269,0
OC(=O)C(F)(F)C(F)(F)C(F)F,H-PFCA-C4,H-PFCA,4,systematic,0,0,0,0,0,0,2.3245622418158964,1
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,H-PFCA-C5,H-PFCA,5,systematic,1,0,0,0,1,0,2.280890010484859,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,H-PFCA-C6,H-PFCA,6,systematic,0,0,0,0,1,0,2.7649375768745927,0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,H-PFCA-C7,H-PFCA,7,systematic,1,0,0,0,0,1,3.0514961836941374,0
