pmid,title,authors,journal,year,doi,abstract,pfas_compounds,toxicity_aspects,mechanisms,keywords,fulltext
28286084,Recent experimental results of effects of perfluoroalkyl substances in laboratory animals - Relation to current regulations and guidance values.,Lilienthal Hellmuth; Dieter Hermann H; Hölzer Jürgen; Wilhelm Michael,International journal of hygiene and environmental health,2017,10.1016/j.ijheh.2017.03.001,"The detection of perfluoroalkyl substances (PFAS) in surface and drinking water from various countries raised the attention to the presence of these chemicals in environmental probes and led to several regulatory actions to limit exposure in human beings. There was particular concern about perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS), due to their former wide-spread use. Recently, several institutions published revisions of former regulatory or recommended maximum concentra",PFOA; PFOS,toxic,,Animal studies; Drinking water; Guidance value; Health-related indication value; Perfluorinated compounds; Perfluoroalkyl substances; Threshold of toxicological concern,
40194260,Exposure to Long- and Short-Chain Per- and Polyfluoroalkyl Substances in Mice and Ovarian-Related Outcomes: An ,Pattarawat Pawat; Zhan Tingjie; Fan Yihan; Zhang Jiyang; Yang Hilly,Environmental health perspectives,2025,10.1289/EHP14876,"The extensive use of per- and polyfluoroalkyl substances (PFAS) has led to environmental contamination and bioaccumulation of these substances. Previous research linked PFAS exposure to female reproductive disorders, but the mechanism remains elusive. Further, most studies focused on legacy long-chain PFOA and PFOS, yet the reproductive impacts of other long-chain PFAS and short-chain alternatives are rarely explored.",PFOA; PFOS,,mechanism,,
39168926,Distribution Control and Environmental Fate of PFAS in the Offshore Region Adjacent to the Yangtze River Estuary─A Study Combining Multiple Phases Analysis.,Li Luying; Han Tongzhu; Li Bo; Bai Peng; Tang Xuexi,Environmental science & technology,2024,10.1021/acs.est.4c03985,"The Yangtze River Estuary is the terminal sink of terrestrial per- and polyfluoroalkyl substances (PFAS) from the Yangtze River, while the environmental fate characteristics of legacy and emerging PFAS around this region have rarely been discussed. Here, 24 targeted PFAS in seawater, sediments, suspended particulate matter (SPM), and plankton in the offshore region adjacent to this estuary were investigated. The three dominant PFAS in all phases were perfluorooctanoic acid (PFOA, 23.8-61.9%), pe",PFOA; HFPO-DA; PFBA,,,bioaccumulation; per- and polyfluoroalkyl substances; phase partition; spatial distribution; vertical settling,
38614344,PFAS assessment in fish - Samples from Illinois waters.,Sands Mia; Zhang Xing; Jensen Tor; La Frano Michael; Lin Mindy,The Science of the total environment,2024,10.1016/j.scitotenv.2024.172357,"Per- and Polyfluoroalkyl substances (PFAS) have been widely used in various industries, including pesticide production, electroplating, packaging, paper making, and the manufacturing of water-resistant clothes. This study investigates the levels of PFAS in fish tissues collected from four target waterways (15 sampling points) in the northwestern part of Illinois during 2021-2022. To assess accumulation, concentrations of 17 PFAS compounds were evaluated in nine fish species to potentially inform",PFOS; PFHxA; PFBS; PFHxS,,,2021–2022; Fish samples; Illinois waters; PFAS; Risk analysis; Risk assessment,"[摘要] Per- and Polyfluoroalkyl substances (PFAS) have been widely used in various industries, including pesticide production, electroplating, packaging, paper making, and the manufacturing of water-resistant clothes. This study investigates the levels of PFAS in fish tissues collected from four target waterways (15 sampling points) in the northwestern part of Illinois during 2021–2022. To assess accumulation, concentrations of 17 PFAS compounds were evaluated in nine fish species to potentially inform on exposure risks to local sport fishing population via fish consumption. At least four PFAS (PFHxA, PFHxS, PFOS, and PFBS) were detected at each sampling site. The highest concentrations of PFAS were consistently found in samples from the Rock River, particularly in areas near urban and industrial activities. PFHxA emerged as the most accumulated PFAS in the year 2022, while PFBS and PFOS dominated in 2021. Channel Catfish exhibited the highest PFAS content across different fish species, indicating its bioaccumulation potential across the food chain. Elevated levels of PFOS were observed in nearly all fish, indicating the need for careful consideration of fish consumption. Additional bioaccumulation data in the future years is needed to shed light on the sources and PFAS accumulation potential in aquatic wildlife in relation to exposures for potential health risk assessment.

[摘要] 


[Introduction] Per- and Polyfluoroalkyl substances (PFAS) are a class of organic compounds wherein the hydrogen atoms in the carbon chain of aliphatic hydrocarbons are replaced by fluorine atoms (

[Introduction] PFAS are broadly categorized into two groups: long-chain and short-chain PFAS. Long-chain PFAS, exemplified by PFOS and PFOA, typically contain at least 8 carbon atoms. In contrast, shorter-chain PFAS, including Perfluorohexane Sulfonic Acid (PFHxS), Perfluorobutane sulfonic acid (PFBS), and Perfluorobutyrate Acid (PFBA), consist of <8 carbon atoms (

[Introduction] The remarkable"
36599390,Critical endpoints of PFOA and PFOS exposure for regulatory risk assessment in drinking water: Parameter choices impacting estimates of safe exposure levels.,Perez Angie; Lumpkin Michael; Kornberg Tiffany; Schmidt Allison,Regulatory toxicology and pharmacology : RTP,2023,10.1016/j.yrtph.2022.105323,"USEPA issued drinking water interim health advisories (iHA) for PFOA and PFOS. The Agency's choice for critical effect, toxic point-of-departure (PoD), benchmark dose (BMD), pharmacokinetic (PK) model extrapolation to ingested dose, and use of uncertainty factors, resulted in the iHA for PFOS and PFOA being lowered from 70 ppt to 0.04-0.2 ppt. This review addresses key steps in the iHA derivation that influence changes in iHA values and suggests analysis and modeling changes for higher confidenc",PFOA; PFOS,toxicity; toxic; adverse; cancer,,,
39987740,"Neurotoxic effects of per- and polyfluoroalkyl substances (PFAS) mixture exposure in mice: Accumulations in brain and associated changes of behaviors, metabolome, and transcriptome.",He Qiurong; Yang Qingkun; Wu Lin; He Yuhang; Zeng Ni,Journal of hazardous materials,2025,10.1016/j.jhazmat.2025.137699,"Humans are exposed to complex per- and polyfluoroalkyl substances (PFAS) mixtures, yet their neurotoxicity and mechanisms remains unclear. This study exposed male mice to 17 PFAS mixtures at low levels (0.2-20 µg/L) for 49 days via drinking water. Perfluoropentanoic acid (PFPeA), perfluoroheptanoic acid (PFHpA), 6:2 fluorotelomer sulfonic acid (6:2 FTS), and perfluorooctane Sulfonate (PFOS) accumulated in brain tissues, with brain/plasma ratios of 2.03-5.87, 2.94-12.88, 1.90-3.19, and 0.62-0.93,",PFOS; PFPeA,toxicity; toxic,mechanism; pathway; receptor; activation,Brain accumulation; Inflammatory response; Multi-omics analysis; Neurotoxicity; PFAS mixture exposure,
35026182,Framework for risk assessment of PFAS utilizing experimental studies and in-silico models.,Deepika Deepika; Rovira Joaquim; Sabuz Óscar; Balaguer Jordina; Schuhmacher Marta,Environmental research,2022,10.1016/j.envres.2022.112722,"Perfluoroalkyl substances (PFAS), especially PFOS and PFOA, are two widely used synthetic chemicals that can impact human health based on evidence from animal and epidemiologic studies. In this paper, we have reviewed and summarized the influence of PFAS exposure on health, pointing the quality of evidence, and applied translational techniques to integrate evidence for PFAS policy making. This is the first review where highly referred articles on PFAS used for policymaking by several regulatory ",PFOA; PFOS,toxicity; toxic; adverse,,Health effects; Human biomonitoring; PFAS; PFOA; PFOS; Perfluorinated compounds; Regulatory limits; Systematic analysis; Toxicokinetic model; Translational in silico models,
33498193,"Legacy and Emerging Per- and Polyfluoroalkyl Substances: Analytical Techniques, Environmental Fate, and Health Effects.",Brase Richard A; Mullin Elizabeth J; Spink David C,International journal of molecular sciences,2021,10.3390/ijms22030995,"Due to their unique chemical properties, per- and polyfluoroalkyl substances (PFAS) have been used extensively as industrial surfactants and processing aids. While several types of PFAS have been voluntarily phased out by their manufacturers, these chemicals continue to be of ecological and public health concern due to their persistence in the environment and their presence in living organisms. Moreover, while the compounds referred to as ""legacy"" PFAS remain in the environment, alternative comp",GenX; HFPO-DA,health effect; cancer,,GenX; HFPO-DA; PFAS; biomonitoring; biotransformation; carcinogenicity; immunotoxicity; landfills; mass spectrometry; per- and polyfluoroalkyl substances,"[摘要] Due to their unique chemical properties, per- and polyfluoroalkyl substances (PFAS) have been used extensively as industrial surfactants and processing aids. While several types of PFAS have been voluntarily phased out by their manufacturers, these chemicals continue to be of ecological and public health concern due to their persistence in the environment and their presence in living organisms. Moreover, while the compounds referred to as “legacy” PFAS remain in the environment, alternative compounds have emerged as replacements for their legacy predecessors and are now detected in numerous matrices. In this review, we discuss the historical uses of PFAS, recent advances in analytical techniques for analysis of these compounds, and the fate of PFAS in the environment. In addition, we evaluate current biomonitoring studies of human exposure to legacy and emerging PFAS and examine the associations of PFAS exposure with human health impacts, including cancer- and non-cancer-related outcomes. Special focus is given to short-chain perfluoroalkyl acids (PFAAs) and ether-substituted, polyfluoroalkyl alternatives including hexafluoropropylene oxide dimer acid (HFPO-DA; tradename GenX), 4,8-dioxa-3H-perfluorononanoic acid (DONA), and 6:2 chlorinated polyfluoroethersulfonic acid (6:2 Cl-PFESA; tradename F-53B).

[1. Introduction to Per- and Polyfluoroalkyl Substances (PFAS)] Per- and polyfluoroalkyl substances (PFAS) constitute a broad class of man-made chemicals that contain at least one perfluoroalkyl moiety in which all H substituents on a C atom have been replaced by F [

[1. Introduction to Per- and Polyfluoroalkyl Substances (PFAS)] Due to their widespread use and chemical stability, PFAS are highly persistent in the environment and can be ubiquitously detected in numerous matrices including water, soil, plants, animals, foodstuffs, and human serum [

[1. Introduction to Per- and Polyfluoroalkyl Substances (PFAS)] With the introduction of newer, emerging PFAS and t"
36841522,Spatio-temporal trends in livestock exposure to per- and polyfluoroalkyl substances (PFAS) inform risk assessment and management measures.,Mikkonen Antti T; Martin Jennifer; Upton Richard N; Barker Andrew O; Brumley Carolyn M,Environmental research,2023,10.1016/j.envres.2023.115518,"The migration of per- and polyfluoroalkyl substances (PFAS) onto agricultural properties has resulted in the accumulation of PFAS in livestock. The environmental determinants of PFAS accumulation in livestock from the grazing environment are poorly understood, resulting in limited capacity to manage livestock exposure and subsequent transfer of PFAS through the food chain. Analytical- (n = 978 samples of soil, water, pasture, and serum matrices), farm management/practice- and livestock physiolog",PFOS; PFHxS,,pathway,Dynamic exposure; Livestock; Perfluorohexane sulfonate (PFHxS); Perfluorooctane sulfonate (PFOS); Risk assessment; Risk management,
41517124,"Occurrence, Sources, and Risk Assessment of PFAS in Soil-Mango Systems of the Chinese Tropical Nanfan District.",Zhang Zhen; Chen Fei; Yang Rui; Ren Saihao; Zhang Shanying,"Foods (Basel, Switzerland)",2025,10.3390/foods15010058,"Perfluoroalkyl and polyfluoroalkyl substances (PFASs) have emerged as contaminants of global concern due to their persistence and potential health risks. PFASs pose potential pollution risks in mango cultivation and production. This study investigated pollution characteristics and conducted a comprehensive risk assessment of PFASs in soil-mango systems within the Nanfan District of Hainan, China. The results revealed that total PFAS concentrations in soil ranged from 0.18 to 1.07 ng/g, with PFHp",PFHxA,,pathway,bioaccumulation factor; mango; perfluoroalkyl and polyfluoroalkyl substance; pollution sources; risk assessment; soils,"[摘要] Perfluoroalkyl and polyfluoroalkyl substances (PFASs) have emerged as contaminants of global concern due to their persistence and potential health risks. PFASs pose potential pollution risks in mango cultivation and production. This study investigated pollution characteristics and conducted a comprehensive risk assessment of PFASs in soil–mango systems within the Nanfan District of Hainan, China. The results revealed that total PFAS concentrations in soil ranged from 0.18 to 1.07 ng/g, with PFHpA and PFHxA accounting for 24.9% and 21.0%, respectively. Total PFAS concentrations in mangoes ranged from 0.0019 to 0.0201 ng/g wet weight, where PFHxA and PFHpA accounted for 44.02% and 30.28%, respectively. For all PFASs, the bioaccumulation factor (BAF) in mangoes was <1, indicating limited transfer from soil to fruits. Regarding PFAS contamination sources, long-range atmospheric transport may serve as the primary pathway for PFAS contamination in soil and mangoes. Risk assessments indicated minimal ecological and dietary exposure risks, with soil ecological risk quotients (RQs) below 0.01 and edible exposure RQs below 1. This study highlights the unique contribution of short-chain PFAS to the quality and safety of tropical agricultural products and provides critical data for the safety regulation of PFASs in soil–fruit systems.

[1. Introduction] The contamination of perfluoroalkyl and polyfluoroalkyl substances (PFASs) in global agricultural production has become a significant challenge, threatening the quality and safety of agricultural products. As a core region of China’s tropical agriculture, Hainan Nanfan District hosts a pivotal mango industry that not only serves as the backbone of the regional economy but also directly impacts the health of domestic and foreign consumers through its product quality and safety. It is worth noting that mango bags are extensively used during planting. These bags function as physical protection, pest control tools, and quality-"
