pmid,title,journal,year,compound,endpoint,activity
37578904,High Exposure to Perfluoroalkyl Substances and Antibody Responses to SARS-CoV-2 mRNA Vaccine-an Obse,Environmental health perspectives,2023,PFOS,immunotoxicity,0.0
37578904,High Exposure to Perfluoroalkyl Substances and Antibody Responses to SARS-CoV-2 mRNA Vaccine-an Obse,Environmental health perspectives,2023,PFHxS,immunotoxicity,0.0
40350013,Per- and polyfluoroalkyl substances (PFAS) and microRNA: An epigenome-wide association study in fire,Environmental research,2025,PFOS,hepatotoxicity,1.0
40350013,Per- and polyfluoroalkyl substances (PFAS) and microRNA: An epigenome-wide association study in fire,Environmental research,2025,PFOS,immunotoxicity,1.0
40350013,Per- and polyfluoroalkyl substances (PFAS) and microRNA: An epigenome-wide association study in fire,Environmental research,2025,PFOS,endocrine,1.0
40113201,"Per- and polyfluoroalkyl substances exposures are associated with non-alcoholic fatty liver disease,","Environmental pollution (Barking, Essex : 1987)",2025,PFNA,hepatotoxicity,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFOA,SR-MMP,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFOA,hepatotoxicity,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFOS,SR-MMP,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFOS,hepatotoxicity,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFNA,SR-MMP,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFNA,hepatotoxicity,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFHxS,SR-MMP,1.0
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,Scientific reports,2025,PFHxS,hepatotoxicity,1.0
36841522,Spatio-temporal trends in livestock exposure to per- and polyfluoroalkyl substances (PFAS) inform ri,Environmental research,2023,PFOS,hepatotoxicity,1.0
36841522,Spatio-temporal trends in livestock exposure to per- and polyfluoroalkyl substances (PFAS) inform ri,Environmental research,2023,PFOS,BCF,1.0
36841522,Spatio-temporal trends in livestock exposure to per- and polyfluoroalkyl substances (PFAS) inform ri,Environmental research,2023,PFHxS,hepatotoxicity,1.0
36841522,Spatio-temporal trends in livestock exposure to per- and polyfluoroalkyl substances (PFAS) inform ri,Environmental research,2023,PFHxS,BCF,1.0
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A,Ecotoxicology and environmental safety,2025,PFOA,hepatotoxicity,1.0
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A,Ecotoxicology and environmental safety,2025,PFOA,endocrine,1.0
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A,Ecotoxicology and environmental safety,2025,PFOS,hepatotoxicity,1.0
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A,Ecotoxicology and environmental safety,2025,PFOS,endocrine,1.0
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A,Ecotoxicology and environmental safety,2025,PFHxS,hepatotoxicity,1.0
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A,Ecotoxicology and environmental safety,2025,PFHxS,endocrine,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFOA,hepatotoxicity,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFOA,developmental,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFOS,hepatotoxicity,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFOS,developmental,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFNA,hepatotoxicity,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFNA,developmental,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFBA,hepatotoxicity,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFBA,developmental,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFHxS,hepatotoxicity,1.0
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Lev",Environmental health perspectives,2023,PFHxS,developmental,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFOS,hepatotoxicity,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFOS,immunotoxicity,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFOS,BCF,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFBS,hepatotoxicity,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFBS,immunotoxicity,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFBS,BCF,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFHxS,hepatotoxicity,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFHxS,immunotoxicity,1.0
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura m,The Science of the total environment,2022,PFHxS,BCF,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFOA,hepatotoxicity,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFOA,endocrine,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFOS,hepatotoxicity,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFOS,endocrine,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFNA,hepatotoxicity,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFNA,endocrine,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFDA,hepatotoxicity,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFDA,endocrine,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFHxS,hepatotoxicity,1.0
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean ,Ecotoxicology and environmental safety,2025,PFHxS,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOA,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOA,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOS,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFOS,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFNA,hepatotoxicity,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFNA,endocrine,1.0
39047923,Per- and polyfluoroalkyl substances (PFAS) exposure and thyroid cancer: Systematic review and meta-a,Toxicology letters,2024,PFHxS,hepatotoxicity,1.0
