pmid,title,abstract,authors,journal,journal_abbr,year,doi,keywords,mesh_terms
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma: a multi-omics and computational toxicology approach.,"Per- and polyfluoroalkyl substances (PFAS), particularly perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS), are synthetic chemicals known for their widespread use and environmental persistence. These compounds have been increasingly linked to hepatotoxicity and the development of hepatocellular carcinoma (HCC). However, the molecular mechanisms by which PFAS contribute to HCC remain underexplored. This study employs a multi-omics approach that combines network toxicology, integrated machine learning, single-cell RNA sequencing, spatial transcriptomics, experimental validation, and molecular docking simulations to uncover the mechanisms through which PFAS exposure drives HCC. We analyzed publicly available transcriptomic data from several HCC cohorts and used differential gene expression analysis to identify targets associated with both PFAS exposure and HCC. We constructed a protein-protein interaction (PPI) network and a survival risk model, the PFAS-related HCC signature (PFASRHSig), based on integrated machine learning to identify prognostic biomarkers, with the goal of identifying core targets of PFAS in HCC progression and prognosis. RT-qPCR and immunohistochemical (IHC) staining were used to validate the expression levels of the targets in both tumor and normal tissues. Molecular docking simulations were conducted to assess the binding affinities between PFAS compounds and selected target proteins. Functional enrichment studies revealed that PFAS targets were associated with metabolic signaling pathways, which are actively involved in lipid, glucose, drug metabolism, etc. Through integrated machine learning and PPI network analysis, we identified six genes, APOA1, ESR1, IGF1, PPARGC1A, SERPINE1, and PON1, that serve as core targets of PFAS in both HCC progression and prognosis. These targets were further validated via bulk RNA-seq, single-cell RNA-seq, and spatial transcriptomics, which revealed differential expression patterns across various cell types in the HCC tumor microenvironment. The results of RT-qPCR and IHC staining were consistent with the in silico findings. Molecular docking simulations revealed strong binding affinities between PFAS compounds and these core targets, supporting their potential roles in PFAS-induced hepatocarcinogenesis. Our study highlights key molecular targets and pathways involved in PFAS-induced liver carcinogenesis and proposes a robust survival risk model (PFASRHSig) for HCC. These findings provide new insights into PFAS toxicity mechanisms and offer potential therapeutic targets for mitigating the health risks associated with PFAS exposure. Collectively, our findings help in advancing clinical applications by providing insights into disease mechanisms and potential therapeutic interventions.",Hong Yanggang; Wang Deqi; Liu Zeyu; Chen Yuxin; Wang Yi,Journal of translational medicine,J Transl Med,2025,10.1186/s12967-025-06517-z,Hepatocellular carcinoma; Machine learning; Molecular docking; Network toxicology; PFAS; Single-cell sequencing,"Carcinoma, Hepatocellular; Humans; Fluorocarbons; Liver Neoplasms; Molecular Docking Simulation; Computational Biology; Protein Interaction Maps; Gene Expression Regulation, Neoplastic; Transcriptome; Gene Expression Profiling; Machine Learning; Reproducibility of Results; Multiomics; Caprylates; Alkanesulfonic Acids"
40359556,Unraveling the molecular mechanisms of PFOA in clear cell renal cell carcinoma through network toxicology and molecular docking strategies.,"As Perfluorooctanoic Acid (PFOA) has been extensively utilized as a processing aid in the manufacture of non-stick coatings, waterproof materials, and other products, concerns regarding its adverse health effects have emerged. Epidemiological data revealed a strong correlation between renal cell carcinoma (RCC) and PFOA concentration, while animal experimental results also demonstrate the association between PFOA and RCC. However, the key targets and mechanisms underlying PFOA-induced RCC remain elusive. This study utilized network toxicology to elucidate the critical target genes and mechanisms of PFOA-induced clear cell RCC (ccRCC), the most prevalent RCC subtype. We retrieved potential PFOA targets from the Swiss Target Prediction database, ChEMBL, and STITCH, and identified RCC-related targets from GeneCards and OMIM. Transcriptomic data for ccRCC patients were obtained from The Cancer Genome Atlas Program (TCGA) to identify differentially expressed genes. We intersected genes from these datasets for constructing a protein-protein interaction (PPI) network. Hub genes were identified from the network using MCODE and cytoHubba plugins in Cytoscape. A risk score based on these hub genes was developed for prognostic analysis, and molecular docking was applied to validate the interactions between PFOA and hub targets. Intersection genes from these datasets, yielding 70 potential PFOA-induced ccRCC targets. Network analysis identified 7 hub genes- CYP2C9, CYP3A4, CYP1A1, CYP1A2, CYP2B6, CYP2C8 , and ABCB1 , and molecular docking confirmed PFOA's binding affinity to their corresponding proteins. Enrichment analysis using Gene Ontology (GO), Kyoto Encyclopedia of Genes and Genomes (KEGG), and Reactome databases on the 70 potential targets and 7 hub genes revealed four potential mechanisms of PFOA-induced ccRCC: abnormal xenobiotic metabolism and accumulation of toxic intermediates, disrupted lipid homeostasis, oxidative stress and reactive oxygen species (ROS) generation, and disrupted steroid hormone signaling. Our findings provide novel insights into PFOA-induced ccRCC mechanisms, with implications for risk assessment and environmental health.",Wang Lei; Zong Linhao; Cao Dake; Guan Miao,"International journal of surgery (London, England)",Int J Surg,2025,10.1097/JS9.0000000000002461,clear cell renal cell carcinoma; cytochrome P450; molecular docking; network toxicology; perfluorooctanoic acid,"Carcinoma, Renal Cell; Humans; Kidney Neoplasms; Caprylates; Fluorocarbons; Molecular Docking Simulation; Protein Interaction Maps"
40367801,Integrative network and computational toxicology reveal the molecular mechanisms in PFOA-induced spermatogenic disorder.,"Perfluorooctanoic acid (PFOA), a widely used industrial chemical, poses significant environmental and biological toxicity, particularly affecting reproductive health. This study aimed to integrate network toxicology, machine learning, and molecular dynamics simulations (MDS) to uncover the molecular mechanisms of PFOA-induced spermatogenic toxicity. Toxicity profiling using admetSAR revealed that PFOA exhibited pronounced reproductive toxicity and a strong binding affinity to nuclear receptors, including estrogen, androgen, and PPAR gamma. By integrating PFOA targets derived from toxicology databases with differentially expressed genes associated with non-obstructive azoospermia, we pinpointed 256 differentially expressed spermatogenic toxicity targets from an initial pool of 4311 potential PFOA targets. Gene ontology (GO) and KEGG pathway enrichment analyses highlighted biological processes, such as spermatogenesis and cell cycle regulation, along with pathways related to cell division and intercellular communication. Protein-protein interaction networks and machine learning algorithms (LASSO, SVM-RFE, RF) pinpointed five core genes-RAD51, KIF15, PTTG1, BIRC5, and CDC25C-that serve as potential diagnostic biomarkers. Molecular docking revealed strong binding affinities between PFOA and these proteins, with RAD51 showing the highest binding stability (-8.467 kcal/mol). Furthermore, MDS confirmed stable interactions, with low RMSD, RMSF, and Rg values, indicating structural stability. In vivo studies showed that PFOA exposure (1 and 5 mg/kg) caused testicular damage in mice in a dose-dependent manner, with significant downregulation of core target proteins; in vitro experiments demonstrated a concentration-dependent reduction in GC1 cell viability and substantial alterations in its gene expression. This study highlights the critical roles of these mechanisms through which PFOA disrupts spermatogenesis, emphasizing core biomarkers that may serve as therapeutic targets. Our findings contribute insights into the reproductive toxicity of PFOA and similar environmental pollutants, offering a basis for developing strategies to protect male fertility.",Luo Yujia; Xue Erfei; Zhao Yixiang; Lu Huimin; Xiang Di,Journal of environmental management,J Environ Manage,2025,10.1016/j.jenvman.2025.125754,Machine learning; Molecular docking; Molecular dynamics simulation; Network toxicology; PFOA; Reproductive toxicity; Spermatogenesis,Caprylates; Male; Fluorocarbons; Spermatogenesis; Animals; Molecular Docking Simulation; Mice; Machine Learning
33751946,Epigenetic changes by per- and polyfluoroalkyl substances (PFAS).,"Increasing studies are examining per- and polyfluoroalkyl substances (PFAS) induced toxicity and resulting health outcomes, including epigenetic modifications (e.g., DNA methylation, histone modification, microRNA expression). We critically reviewed current evidence from human epidemiological, in vitro, and animal studies, including mammalian and aquatic model organisms. Epidemiological studies identified the associations between perfluorooctane sulfonate (PFOS) or perfluorooctanoic acid (PFOA) exposure and epigenetic changes in both adult populations and birth cohorts. For in vitro studies, various cell types including neuroblasts, preadipocytes, and hepatocytes have been employed to understand epigenetic effects of PFAS. In studies with animal models, effects of early life exposure to PFAS have been examined using rodent models, and aquatic models (e.g., zebrafish) have been more frequently used in recent years. Several studies highlighted oxidative stress as a key mediator between epigenetic modification and health effects. Collectively, previous research clearly suggest involvement of epigenetic mechanisms in PFAS induced toxicity, though these efforts have primarily focused on specific PFASs (i.e. mainly PFOS and PFOA) or endpoints (i.e. cancer). Additional studies are necessary to define specific linkages among epigenetic mechanisms and related biomarkers or phenotypical changes. In addition, future research is also needed for understudied PFAS and complex mixtures. Studies of epigenetic effects elicited by individual PFAS and mixtures are needed within an adverse outcome pathways framework, which will advance an understanding of PFAS risks to public health and the environment, and support efforts to design less hazardous chemicals.",Kim Sujin; Thapar Isha; Brooks Bryan W,"Environmental pollution (Barking, Essex : 1987)",Environ Pollut,2021,10.1016/j.envpol.2021.116929,Endocrine disrupting chemicals (EDCs); Environmental epigenetics; Mechanistic toxicology; Molecular mechanisms; Perfluorooctane sulfonate (PFOS); Perfluorooctanoic acid (PFOA); Persistent organic pollutants (POPs); Three to ten pertinent; per-and polyfluoroalkyl substance (PFAS),"Alkanesulfonic Acids; Animals; Biomarkers; Environmental Pollutants; Epigenesis, Genetic; Fluorocarbons; Oxidative Stress; Zebrafish"
40465018,"Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substances (PFAS) on breast cancer by integrating network toxicology, single-cell sequencing, spatial transcriptomics, and molecular simulation.","Per- and polyfluoroalkyl substances (PFAS), particularly perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS), are persistent environmental contaminants linked to adverse health effects, including an increased risk of breast cancer. However, the molecular mechanisms through which PFAS contribute to breast cancer development remain poorly understood. In this study, we employed an integrated approach combining network toxicology, single-cell sequencing, spatial transcriptomics, and molecular simulation to investigate the effects of PFAS on breast cancer. By constructing a protein-protein interaction (PPI) network, we identified six core genes (PPARG, CD36, FABP4, PPARGC1A, LPL, and PCK1) that play a significant role in the development of breast cancer. These genes are involved in key cellular processes such as lipid metabolism, oxidative phosphorylation, and immune regulation, all of which are disrupted by PFAS exposure. Single-cell and spatial transcriptomic analyses revealed that these genes are predominantly expressed in endothelial, myeloid, and cancer-associated fibroblasts within the tumor microenvironment. Molecular simulation further confirmed strong binding energies between PFAS and these target proteins, suggesting direct interactions. Our findings provide novel insights into how PFAS may promote breast cancer progression at the molecular level and highlight the need for further research on environmental pollutants in cancer risk assessment and public health initiatives.",Li Jiajun; Wang Deqi; Song Sihan; Wang Yi; Wu Xinlei,Functional & integrative genomics,Funct Integr Genomics,2025,10.1007/s10142-025-01616-y,,Humans; Fluorocarbons; Breast Neoplasms; Female; Transcriptome; Alkanesulfonic Acids; Protein Interaction Maps; Caprylates; Single-Cell Analysis; Gene Regulatory Networks; Environmental Pollutants; Tumor Microenvironment
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pathways of perfluorinated and polyfluoroalkyl substances (PFAS): An integrated network toxicology and molecular docking strategy.,"The objective of this study was to investigate the potential carcinogenic toxicity and mechanisms of PFAS in thyroid, renal, and testicular cancers base on network toxicology and molecular docking techniques. Structural modeling was performed to predict relevant toxicity information, and compounds and cancer-related targets were screened in multiple databases. The interaction of PFAS with three cancers and their key protein targets were explored by combining protein network analysis, enrichment analysis and molecular docking techniques. PFOA, PFOS, and PFHXS exhibited significant carcinogenic and cytotoxic effects. These compounds may induce cancer by mediating active oxygen metabolism and the transduction of phosphatidylinositol 3-kinase/protein kinase B signaling pathway through genes such as ALB, mTOR, MDM2, and ERBB2. Furthermore, the underlying toxic mechanisms may be linked to the pathways in cancer, chemical carcinogenesis through reactive oxygen species/receptor activation, and the FoxO signaling pathway. The results contribute to a comprehensive understanding of the effects of these environmental pollutants on genes, proteins, and metabolic pathways in living organisms. It revealed their toxicity mechanisms in inducing thyroid, renal, and testicular cancers, and provided a solid theoretical foundation for designing new environmental control strategies and drug screening initiatives. Additionally, the integrated application of network toxicology and molecular docking technology can enhance our understanding of the toxicity and mechanisms of unknown environmental pollutants, which is beneficial for protecting the environment and human health.",Lin Zhi; Li Yvmo; Zhao Jiarui; Li Jun; Pan Shuang,Heliyon,Heliyon,2024,10.1016/j.heliyon.2024.e37003,Carcinogenic pathways; Molecular docking; Network toxicology; PFAS,
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatty acids, and pharmaceuticals in peroxisome proliferator-activated receptor (PPAR) alpha, PPAR gamma, and estrogen receptor assays.","Data demonstrate numerous per- and polyfluoroalkyl substances (PFAS) activate peroxisome proliferator-activated receptor alpha (PPARα), however, additional work is needed to characterize PFAS activity on PPAR gamma (PPARγ) and other nuclear receptors. We utilized in vitro assays with either human or rat PPARα or PPARγ ligand binding domains to evaluate 16 PFAS (HFPO-DA, HFPO-DA-AS, NBP2, PFMOAA, PFHxA, PFOA, PFNA, PFDA, PFOS, PFBS, PFHxS, PFOSA, EtPFOSA, and 4:2, 6:2 and 8:2 FTOH), 3 endogenous fatty acids (oleic, linoleic, and octanoic), and 3 pharmaceuticals (WY14643, clofibrate, and the metabolite clofibric acid). We also tested chemicals for human estrogen receptor (hER) transcriptional activation. Nearly all compounds activated both PPARα and PPARγ in both human and rat ligand binding domain assays, except for the FTOH compounds and PFOSA. Receptor activation and relative potencies were evaluated based on effect concentration 20% (EC",Evans Nicola; Conley Justin M; Cardon Mary; Hartig Phillip; Medlock-Kakaley Elizabeth,Toxicology and applied pharmacology,Toxicol Appl Pharmacol,2022,10.1016/j.taap.2022.116136,Adverse outcome pathway; Bioactivity; GenX; Mechanism of action; Molecular initiating event,"Animals; Fatty Acids; Female; Fluorocarbons; Ligands; Male; PPAR alpha; PPAR gamma; Rats; Receptors, Estrogen"
40580631,Multi-level evidence reveals PANK2 as a potential target of PFOA/PFOS-induced bone metabolism disruption: From network toxicology to in vitro validation.,"Perfluorooctanoic acid (PFOA) and perfluorooctanesulfonic acid (PFOS) are two representative per- and polyfluoroalkyl substances (PFAS) that have attracted increasing attention due to their environmental persistence and potential health risks, while their bone toxicity remains unclear. In this study, we systematically investigated the toxicological mechanisms of PFOA and PFOS on bone metabolism by integrating network toxicology, molecular docking and molecular dynamics simulations, and in vitro cellular experiments. Pantothenate kinase 2 (PANK2) was identified as a key target through the intersection of multiple databases and cross-validation using three machine learning algorithms. Molecular docking and dynamics simulations demonstrated that PFOA and PFOS can stably bind to PANK2 protein. In vitro experiments further confirmed that both PFOA and PFOS significantly suppressed PANK2 expression in bone marrow mesenchymal stem cells (BMSCs), leading to a disruption in the balance between osteogenic and adipogenic differentiation. Additionally, gene set enrichment analysis (GSEA) suggested that PANK2 may participate in bone metabolic regulation via chemokine signaling pathway and the neuro-osteogenic axis. This study highlights for the first time the critical role of PANK2 in PFAS-induced osteoporosis and provides novel mechanistic insights and potential therapeutic targets for the prevention and treatment of environmentally induced bone metabolic disorders.",Shao Yiming; Fan Wenhao,Ecotoxicology and environmental safety,Ecotoxicol Environ Saf,2025,10.1016/j.ecoenv.2025.118593,Molecular docking; Molecular dynamics simulations; Network toxicology; Osteoporosis; PANK2; PFOA; PFOS,Fluorocarbons; Caprylates; Alkanesulfonic Acids; Phosphotransferases (Alcohol Group Acceptor); Molecular Docking Simulation; Mesenchymal Stem Cells; Environmental Pollutants; Bone and Bones; Animals; Osteogenesis; Humans; Molecular Dynamics Simulation
40925179,"Integration of network toxicology, machine learning and single-cell sequencing reveals the effects of soil pollutants on prostate cancer.","Prostate cancer (PRAD) is a common malignancy in men, and exposure to soil pollutants may contribute to its development. And exposure to soil pollutant has been linked to its development, as well as to other diseases including cardiovascular disorders, neurological conditions, and additional cancers. This study integrates network toxicology, machine learning, and advanced technologies to investigate the mechanisms through which soil pollutants affect prostate cancer. Network toxicology was used to identify targets and signaling pathways associated with soil pollutants. Target prediction of soil pollutants was performed through SwissTargetPrediction and the Similarity Ensemble Approach (SEA). Prostate cancer-associated target genes were obtained from the Genecards and OMIM databases. Protein-protein interaction analysis further identified key regulatory molecules. Then a predictive model was constructed with 101 machine learning algorithms, identified risk target molecules and assessed the relationship between soil pollutants and prostate cancer risk. Single-cell sequencing examined the expression profiles of these targets in prostate cancer cell types. Molecular docking simulations evaluated the binding affinities between pollutants and target proteins to explore potential molecular mechanisms. Ten soil pollutants were analyzed, including dibutyl phthalate (DBP), dioctyl phthalate (DOP), dimethyl phthalate (DMP), perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), methyl ethyl ketone (MEK), toluene (TOL), zearalenone (ZEN), ochratoxin A (OTA), and deoxynivalenol (DON). Integration of multiple databases identified 242 potential targets, and protein-protein interaction analysis revealed key regulatory molecules. A prognostic risk model identified 26 risk target molecules. Single-cell sequencing demonstrated their expression profiles in prostate cancer. Kaplan-Meier, univariate, and multivariate Cox regression analyses revealed independent prognostic significance for DNMT1 and MTOR. Molecular docking confirmed that most soil pollutants bind strongly to DNMT1 and MTOR, suggesting disruption of related signaling pathways. Furthermore, experiments were conducted to explore the relationship between soil pollutants and target proteins. Various analytical methods to elucidate mechanisms by which soil pollutants contribute to prostate cancer through interactions with key molecular targets DNMT1 and mTOR. These findings inform the prevention and treatment of environmentally related cancers and provide novel insights into the molecular connection between soil pollutants and prostate cancer, and laying the groundwork for preventive and intervention strategies targeting environmentally related cancers.",Liu Zhiyu; Li Yuqi; Wang Juan; Zeng Yang; Wu Qilong,Ecotoxicology and environmental safety,Ecotoxicol Environ Saf,2025,10.1016/j.ecoenv.2025.119010,Machine learning; Molecular docking; Network toxicology; Prostate cancer (PRAD); Single-cell sequencing; Soil pollutants,Male; Prostatic Neoplasms; Humans; Machine Learning; Soil Pollutants; Molecular Docking Simulation; Single-Cell Analysis
29779582,Animal models of endocrine disruption.,"Endocrine disrupting chemicals (EDCs) are compounds that alter the structure and function of the endocrine system and may be contributing to disorders of the reproductive, metabolic, neuroendocrine and other complex systems. Typically, these outcomes cannot be modeled in cell-based or other simple systems necessitating the use of animal testing. Appropriate animal model selection is required to effectively recapitulate the human experience, including relevant dosing and windows of exposure, and ensure translational utility and reproducibility. While classical toxicology heavily relies on inbred rats and mice, and focuses on apical endpoints such as tumor formation or birth defects, EDC researchers have used a greater diversity of species to effectively model more subtle but significant outcomes such as changes in pubertal timing, mammary gland development, and social behaviors. Advances in genomics, neuroimaging and other tools are making a wider range of animal models more widely available to EDC researchers.",Patisaul Heather B; Fenton Suzanne E; Aylor David,Best practice & research. Clinical endocrinology & metabolism,Best Pract Res Clin Endocrinol Metab,2018,10.1016/j.beem.2018.03.011,PFOA; collaborative cross; neurosciences; peromyscus; toxicology; vole,"Animals; Disease Models, Animal; Endocrine Disruptors; Endocrine System; Endocrine System Diseases; Environmental Exposure; Environmental Illness; Humans; Reproducibility of Results; Reproduction"
