pmid,title,abstract,authors,journal,year,doi
37578904,"High Exposure to Perfluoroalkyl Substances and Antibody Responses to SARS-CoV-2 mRNA Vaccine-an Observational Study in Adults from Ronneby, Sweden.","Per- and polyfluoroalkyl substances (PFAS) are widely used, environmentally ubiquitous, and stable chemicals that have been associated with lower vaccine-induced antibody responses in children; however, data on adults are limited. The drinking water from one of the two waterworks in Ronneby, Sweden, was heavily contaminated for decades with PFAS from firefighting foams, primarily perfluorohexane sulfonic acid and perfluorooctanesulfonic acid (PFOS). Vaccination against SARS-CoV-2 offered a unique opportunity to investigate antibody responses to primary vaccination in adults who had been exposed to PFAS. Our objective was to evaluate associations between PFAS, across a wide range of exposure levels, and antibody responses in adults 5 wk and 6 months after a two-dose vaccination regime against SARS-CoV-2. Adults age 20-60 y from Ronneby ( PFAS exposure, regardless of how it was estimated, was not negatively associated with antibody levels 5 wk [current PFOS:  Following a strict study protocol, rigorous study design, and few dropouts, we found no indication that PFAS exposure negatively affected antibody responses to COVID-19 mRNA vaccination for up to 6 months after vaccination. https://doi.org/10.1289/EHP11847.",Andersson Axel G; Lundgren Anna; Xu Yiyi; Nielsen Christel; Lindh Christian H,Environmental health perspectives,2023,10.1289/EHP11847
40350013,Per- and polyfluoroalkyl substances (PFAS) and microRNA: An epigenome-wide association study in firefighters.,"The occupation of firefighting is classified as a Group 1 carcinogen. Increased cancer risk among firefighters may be partly attributable to increased occupational exposure to a range of chemicals, including per- and polyfluoroalkyl substances (PFAS). Some PFAS are known and suspect human carcinogens. Investigating epigenetic response to these PFAS exposures in firefighters may help to identify biological pathways of specific cancers, and previously unidentified health outcomes that are associated with PFAS. We therefore investigated the associations of serum PFAS concentrations with miRNA expression in firefighters. Serum samples collected from 303 firefighters from 6 sites across the USA were analyzed for 9 PFAS along with miRNA expression. Covariate-adjusted linear regression was used to estimate associations between log PFAS and miRNA expression, with false discovery rate (FDR) set to 0.05 for significance, and an exploratory cutoff of FDR q < 0.20. Gene set enrichment analysis (GSEA) was performed using miRTarBase's miRWalk pathways. Age, race-ethnicity, BMI, fire department, and sex were controlled for in all models. At FDR<0.05, the linear isomer of perfluorooctane sulfonic acid (PFOS) was inversely associated with miR-128-1-5p expression (Beta = -0.146, 95 % CI -0.216, -0.076). At a relaxed FDR of 0.20, we observed inverse associations for the sum of branched isomers of PFOS (Sm-PFOS) with 5 miRNAs (let-7d-5p, let-7a-5p, miR-423-5p, let-7b-5p, miR-629-5p). Several pathways were enriched for multiple PFAS, including those correlated with certain cancers, blood diseases, thyroid disorders, autoimmune disorders, and neurological outcomes. Some PFAS in firefighters were found to be associated with alteration of miRNA consistent with increased risk for a range of chronic diseases.",Furlong Melissa A; Liu Tuo; Jung Alesia; Beitel Shawn; Hughes Jeff,Environmental research,2025,10.1016/j.envres.2025.121766
40113201,"Per- and polyfluoroalkyl substances exposures are associated with non-alcoholic fatty liver disease, particularly fibrosis.","Per- and polyfluoroalkyl substances (PFAS) have been reported to exert hepatotoxic effects; however, their impact on nonalcoholic fatty liver disease (NAFLD) remains unclear. This study aimed to investigate the association between PFAS exposure and NAFLD in Korean adults, thereby contributing to the generalization of PFAS's hepatotoxic effects. Using data from the 2018-2020 Korean National Environmental Health Survey (KoNEHS), we analyzed 2635 Korean adults. PFAS exposure levels were estimated based on the serum concentrations of five PFAS. NAFLD was assessed using two steatosis-related indices (hepatic steatosis index [HSI] and fatty liver index [FLI]) and two fibrosis-related indices (fibrosis-4 index [FIB-4] and aspartate aminotransferase to platelet ratio index [APRI]). The models included these indices as continuous and dichotomous variables, the latter based on diagnostic criteria from previous studies. Associations with PFAS exposure were examined using multiple linear regression and robust Poisson regression models. Positive associations were observed between PFAS exposure and three of the four continuous indices, excluding the FLI, as well as the prevalence of NAFLD diagnosed using these indices. Specifically, the HSI showed a significant association only with perfluorononanoic acid, whereas fibrosis-related indices (FIB-4 and APRI) were significantly associated with all five individual PFAS. The associations were stronger in female and non-obese groups when stratified by sex and obesity status. The results of the Bayesian kernel machine regression analysis evaluating the health effects of PFAS mixtures indicated an association between PFAS mixtures and NAFLD, particularly fibrosis-related indices. Additionally, significant associations with NAFLD indices were mostly observed in females and non-obese groups, supporting the findings from the individual PFAS exposure analyses. Our findings suggest that PFAS are associated with NAFLD, particularly for fibrosis. Considering the high serum PFAS concentrations in the Korean population, continuous monitoring and prospective cohort studies are warranted.",Hwang Se-Hyun; Choi Yun-Hee; Huh Da-An; Kim Lita; Park Kangyeon,"Environmental pollution (Barking, Essex : 1987)",2025,10.1016/j.envpol.2025.126085
40595302,A subcellular study on reactive oxygen species generation by PFAS in HepG2 cells.,"Per- and polyfluoroalkyl substances (PFAS) hepatotoxicity is well documented, especially for legacy compounds such as PFHxS, PFOA, PFOS, and PFNA. However, the mechanism(s) involved are yet to be fully understood. The present study aims to investigate the origin of PFAS-induced formation of reactive oxygen species (ROS) and their relevance for the decrease of cell viability of HepG2 cells after exposure to PFASs. Moreover, a structure-activity relationship was assessed using PFASs with different headgroups (carboxylic, sulfonic, and alcoholic) and variable carbon-chain lengths (4-10 C). The link between ROS generation and cell viability was assessed using two antioxidants: quercetin, a generic antioxidant, and mito-tempo, a mitochondria-targeted antioxidant. Both antioxidants were demonstrated to be effective in reducing PFAS-induced ROS generation. The mechanism behind PFAS-induced ROS might be headgroup-dependent, as quercetin increased cell viability after both perfluoroalkyl carboxylic acids (PFCA) and perfluorosulfonic acids (PFSA) exposure, while mito-tempo only improved cell viability after PFCAs exposure. The two major sources of ROS generation in HepG2 cells are the peroxisomes and mitochondria. However, exposure to PFASs did not impact peroxisomal or mitochondrial activity after 24 h. Uncommon sources of ROS generation, such as lysosomal leakage or lipid peroxidation, have been demonstrated to result from previously generated ROS and not from PFASs exposure. Indeed, lysosomal leakage caused by PFASs exposure is negated by either quercetin or mito-tempo treatment, while lipid peroxidation only occurs after 24 h of exposure, long after the initial ROS generation by PFASs. This indicates that both events are a result of previously generated ROS. However, exposure to both PFOA and PFOS was demonstrated to reduce catalase activity in HepG2. In conclusion, the present study demonstrates that ROS generation after PFASs exposure might be due to inhibition of HepG2 endogenous antioxidants. Moreover, a headgroup-dependent mechanism of action has been observed, indicating that PFCAs and PFSAs exposure might lead to hepatotoxicity through different pathways.",Amstutz V H; Mircheva A; Cengo A; Dubois L J; Sijm D T H M,Scientific reports,2025,10.1038/s41598-025-07503-7
36841522,Spatio-temporal trends in livestock exposure to per- and polyfluoroalkyl substances (PFAS) inform risk assessment and management measures.,"The migration of per- and polyfluoroalkyl substances (PFAS) onto agricultural properties has resulted in the accumulation of PFAS in livestock. The environmental determinants of PFAS accumulation in livestock from the grazing environment are poorly understood, resulting in limited capacity to manage livestock exposure and subsequent transfer of PFAS through the food chain. Analytical- (n = 978 samples of soil, water, pasture, and serum matrices), farm management/practice- and livestock physiology data were collated and interrogated from environmental PFAS investigations across ten farms, from four agro-ecological regions of Victoria (Australia). Statistical analysis identified perfluorooctane sulfonate (PFOS) and perfluorohexane sulfonate (PFHxS) as key analytes of concern for livestock bioaccumulation. PFOS and PFHxS concentrations in livestock drinking water were positively correlated with serum concentrations while other intake pathways (pasture and soil) had weaker correlations. Seasonal trends in PFAS body burden (serum concentrations) were identified and suggested to be linked to seasonal grazing behaviours and physiological water requirements. The data showed for the first time that livestock exposure to PFAS is dynamic and with relatively short elimination half-lives, there is opportunity for exposure management. Meat from cattle, grazed on PFAS impacted sites, may exceed health-based guideline values for PFAS, especially for markets with low limits (like the European Commission Maximum Limits or EC MLs). This study found that sites with mean livestock drinking water concentrations as low as 0.003 μg PFOS/L may exceed the EC ML for PFOS in cattle meat. Risk assessment can be used to prioritise site cleanup and development of management plans to reduce PFAS body burden by considering timing of stock rotation and/or supplementation of primary exposure sources.",Mikkonen Antti T; Martin Jennifer; Upton Richard N; Barker Andrew O; Brumley Carolyn M,Environmental research,2023,10.1016/j.envres.2023.115518
40101590,Association between endocrine disrupting chemicals exposure and diabetic kidney disease in adults: A national cross-sectional NHANES study.,"Diabetic kidney disease (DKD) is a global public health concern. Environmental factors are increasingly recognized as significant risk factors that cannot be overlooked, and certain environmental pollutants exhibit endocrine-disrupting properties. Previous research on the association between endocrine-disrupting chemicals (EDCs) and DKD has been notably limited. This study investigated the association between exposure to 25 EDC metabolites and DKD in 1421 U.S. adults from the 2015-2018 National Health and Nutrition Examination Survey (NHANES). We used logistic regression, restricted cubic spline regression, weighted quantile sum (WQS) regression, and bayesian kernel machine regression (BKMR) models to assess the association between individual and co-exposure to multiple EDCs and DKD. Subgroup analyses and interaction tests were performed to investigate whether this association was stable across the population. Additionally, mediation analysis was used to explore the mediating role of serum globulins in the association between Pb exposure and DKD. In logistic regression models, N-Acetyl-S-(2-hydroxypropyl)-L-cysteine (2HPMA), N-Acetyl-S-(4-hydroxy-2-butenyl)-L-cysteine (MHBMA3), Phenylglyoxylic acid (PGA), and lead (Pb) were significantly positively associated with diabetes. Restricted cubic spline (RCS) analyses also revealed significant non-linear positive associations between 2HPMA, MHBMA3, and DKD. Perfluorohexane sulfonic acid (PFHxS), n-perfluorooctanoic acid (n-PFOA), n-perfluorooctane sulfonic acid (n-PFOS), and Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) were significantly negatively associated with DKD. Furthermore, co-exposure to metals and metalloid was positively associated with DKD in both the WQS regression and the BKMR models, with Pb as the primary contributing factor. Mediation analysis showed that globulin mediated the association between Pb exposure and DKD, with a mediation proportion of 7.25 % (P = 0.046). Co-exposure to perfluoroalkyl and polyfluoroalkyl substances (PFASs) was negatively correlated with DKD, and subgroup analyses revealed that this correlation was more pronounced in the obese group (BMI ≥30 kg/m²). The BKMR analysis revealed potential interactions among various chemical compounds, such as N-Acetyl-S-(2-hydroxypropyl)-L-cysteine (2HPMA), 2-Methylhippuric acid (2MHA), N-Acetyl-S-(4-hydroxy-2-methyl-2-butenyl)-L-cysteine (IPM3), mercury (Hg), and cadmium (Cd), in a model simulating co-exposure to metals and metalloid, as well as to volatile organic compound metabolites (mVOCs). The findings suggest an association between individual or co-exposure to EDC metabolites and DKD, providing valid evidence for DKD prevention from the perspective of EDCs exposure. However, more prospective studies are needed to elucidate the potential mechanisms underlying these findings.",Li Xinru; Ye Xiaoang; Xu Luhuan; Chen Hongyu,Ecotoxicology and environmental safety,2025,10.1016/j.ecoenv.2025.118044
40743909,Pollen-Food Allergy Syndrome in China: Current Knowledge and Future Research Needs.,"<p>Background: Pollen-food allergy syndrome (PFAS) is a distinct form of IgE-mediated food allergy that occurs in individuals sensitized to pollen. The characteristics of PFAS vary across regions and exhibit significant heterogeneity due to differing pollen sensitization profiles. Summary: Research on PFAS in China has primarily focused on Northern regions, where weed and tree pollen allergy, particularly to Artemisia, are prevalent. PFAS is more commonly observed in China among patients allergic to Artemisia pollen, nsLTPs (e.g., Art v 3) derived from Artemisia pollen is regarded as a biomarker for severe food-pollen allergies in China. Other cross-reactive components, including PR-10, profilins, and recently identified GRP, also contribute to PFAS. Diagnosis mainly relies on clinical history, supported by specific IgE, skin prick testing, and component-resolved diagnostics (CRD), while management includes dietary modifications, allergen avoidance, and epinephrine for anaphylaxis. Although allergen immunotherapy and biologics have been explored, their efficacy remains limited, highlighting unmet needs for further research. Critical knowledge gaps persist in understanding PFAS epidemiology, risk factors, and regional variations in China. Future priorities include large-scale epidemiological studies, validation of diagnostic tools, and the development of tailored management guidelines for China's diverse population. Key Messages: This review aimed to provide a comprehensive overview of PFAS and its management to enhance understanding of the existing knowledge gaps and future research needs in China. </p>.",Jiang Nannan; Deng Shan; Guan Kai; Xiang Li,International archives of allergy and immunology,2026,10.1159/000547646
37962440,"Prenatal Exposure to PFAS, Associations with Preterm Birth and Modification by Maternal Estrogen Levels: The Maoming Birth Study.","Estrogens play a critical role in parturition, and poly- and perfluoroalkyl substances (PFAS), which have estrogenic effects, have been associated with preterm birth. However, the impact of estrogens on the association between PFAS and preterm birth is unknown. The objective of this study is to investigate if estrogens modified the association between PFAS and preterm birth, using a nested case-control study design. A total of 371 preterm births and 508 controls were selected from a birth cohort study in China between 2016 and 2018. Perfluorobutanoic acid (PFBA), perfluorohexanesulfonic acid (PFHxS) and its branched isomer, perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS) and its branched isomer, and perfluorononanoic acid (PFNA) were quantified in maternal serum (mean gestational age of 32 wk). Estradiol and estriol were quantified in cord serum. Preterm birth was defined as live delivery at  Overall, higher odds ratios (ORs) of preterm birth were associated with each 1 ln-unit PFAS increase: PFBA [1.20, 95% confidence interval (CI): 1.14, 1.26], PFNA (1.30, 95% CI: 1.21, 1.39), PFOA (1.98, 95% CI: 1.54, 2.55), and PFOS (1.91, 95% CI: 1.76, 2.07) and its branched isomer (1.91, 95% CI: 1.90, 1.92). We detected statistically significant interactions between cord estradiol and PFAS on preterm birth, while no mediation effects of cord estrogen were observed. The ORs of PFOS (4.29, 95% CI: 1.31, 8.25), its branched isomer (6.71, 95% CI: 1.06, 11.91), and preterm birth were greater for participants with high cord estrogen levels than for participants with low cord estrogen levels. Our findings suggest that estrogen modified the association between maternal PFAS exposure and preterm birth. Further studies on maternal PFAS exposure and preterm birth, taking interaction effects of cord estrogens into account, are warranted. https://doi.org/10.1289/EHP11377.",Qin Xiao-Di; Zhou Yang; Bloom Michael S; Qian Zhengmin Min; Geiger Sarah Dee,Environmental health perspectives,2023,10.1289/EHP11377
34715216,Bioaccumulation and metabolic response of PFAS mixtures in wild-caught freshwater turtles (Emydura macquariimacquarii) using omics-based ecosurveillance techniques.,"PFAS mixtures in the environment are common and identifying PFAS constituents, bioaccumulation, and biological impacts of mixtures remains a challenge. Here, an omics-based ecosurveillance approach was taken to investigate the impacts of PFAS pollution in freshwater turtles (Emydura macquariimacquarii). Four turtles were collected from an impacted waterway downstream from an industrial source of PFAS contamination in Queensland, Australia and analysed for 49 different PFAS. One turtle was collected from a suitable control site. PFAS concentrations were quantified in turtle serum using an established targeted methodology. The serum PFAS concentration was ten-fold greater at the impacted site (Σ49 PFAS 1933 ± 481 ng/mL) relative to the control sample (Σ49 PFAS 140 ng/mL). Perfluorooctane sulfonate (PFOS; 889 ± 56 ng/mL) was 235 times higher in turtle serum than in the water that they were collected from (ΣPFAS 32.0 μg/L). Perfluorobutane sulfonamide (FBSA; 403 ± 83 ng/mL) and perfluorohexane sulfonamide (FHxSA; 550 ± 330 ng/mL) were also reported at substantial concentrations in the serum of impacted turtles. Biochemical profiles were analysed using a mixture of liquid chromatography triple quadrupole (QqQ) and quadrupole time-of-flight (QToF) mass spectrometry methodologies. These profiles demonstrated a positive correlation in the impacted turtles exposed to elevated PFAS with an enhanced purine metabolism, glycerophosphocholines and an innate immune response, which suggest an inflammation response, metabolic preservation and re-routing of central carbon metabolites. Conversely, lipid transport and binding activity were negatively correlated. Using these preliminary data, we were able to demonstrate the negative metabolic impact from PFAS mixtures on turtle metabolic health. With further research on a larger turtle cohort, omics-based data will contribute towards linking adverse outcome pathways for turtle populations exposed to PFAS mixtures. Moreover, expanding the use of ecosurveillance tools will inform mechanistic toxicological data for risk assessment and regulatory applications.",Beale David J; Hillyer Katie; Nilsson Sandra; Limpus Duncan; Bose Utpal,The Science of the total environment,2022,10.1016/j.scitotenv.2021.151264
40633188,Levels of serum per- and polyfluoroalkyl substances and association with dyslipidemia in the Korean population.,"Per- and polyfluoroalkyl substances (PFAS) are primarily used in coatings for cookware and waterproof clothing, and can enter the body through contaminated food or water, potentially acting as endocrine disruptors. Epidemiological studies have reported associations between PFAS and dyslipidemia; however, these studies have mainly been conducted in Western and other countries. Due to genetic differences and weak regulations in East Asia compared to Western countries, there is a need for studies on the health impact on this population. This cross-sectional study analyzed the association between serum PFAS levels and dyslipidemia in Korean adults. The data were from 2975 participants from the cycle 4 of Korean National Environmental Health Survey conducted between 2018 and 2020. We performed general linear regression, robust Poisson regression, and Bayesian kernel machine regression to analyze the association between the five PFAS and dyslipidemia. All five PFAS were detected in over 99.8 % of the study participants, with geometric mean concentrations as follows: perfluorooctanoic acid (PFOA) = 6.4 ng/mL, perfluorooctane sulfonic acid (PFOS) = 15 ng/mL, perfluorohexane sulfonic acid (PFHxS) = 4.2 ng/mL, perfluorononanoic acid (PFNA) = 2.1 ng/mL, and perfluorodecanoic acid (PFDeA) = 0.91 ng/mL. This study confirmed positive associations between PFOA, PFHxS, PFNA, PFDeA, and low-density lipoprotein cholesterol (LDL",Park Kangyeon; Huh Da-An; Kim Lita; Choi Yun-Hee; Lee Jiyoun,Ecotoxicology and environmental safety,2025,10.1016/j.ecoenv.2025.118633
