ID,SMILES,CAS,Name,Category,NR-AR,NR-AR-LBD,NR-AhR,SR-HSE,SR-MMP,SR-p53,BCF,Biodegradability,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonors,HBondAcceptors,RotatableBonds,HeavyAtoms,Complexity
PFOA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,335-67-1,Perfluorooctanoic acid,PFCA,0,0,1,0,1,0,3.9,0,C8HF15O2,414.07,4.9,37.3,1,17,6,25,530
PFNA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,375-95-1,Perfluorononanoic acid,PFCA,0,0,1,1,0,0,3.6,0,C9HF17O2,464.08,5.6,37.3,1,19,7,28,615
PFDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,335-76-2,Perfluorodecanoic acid,PFCA,1,1,0,0,1,1,4.4,0,C10HF19O2,514.08,6.3,37.3,1,21,8,31,701
PFUnDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2058-94-8,Perfluoroundecanoic acid,PFCA,0,0,0,0,0,0,3.1,1,C11HF21O2,564.09,6.9,37.3,1,23,9,34,789
PFDoDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,307-55-1,Perfluorododecanoic acid,PFCA,1,1,1,0,1,0,4.9,0,C12HF23O2,614.10,7.6,37.3,1,25,10,37,879
PFTrDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,72629-94-8,Perfluorotridecanoic acid,PFCA,0,0,0,1,0,1,3.1,1,C13HF25O2,664.10,8.3,37.3,1,27,11,40,970
PFTeDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,376-06-7,Perfluorotetradecanoic acid,PFCA,0,0,0,0,0,0,2.8,1,C14HF27O2,714.11,9.0,37.3,1,29,12,43,1060
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,307-24-4,Perfluorohexanoic acid,PFCA,1,0,1,0,1,0,3.6,1,C6HF11O2,314.05,3.6,37.3,1,13,4,19,368
PFPeA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2706-90-3,Perfluoropentanoic acid,PFCA,0,0,0,1,0,1,1.6,1,C5HF9O2,264.05,2.9,37.3,1,11,3,16,291
PFBA,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,375-22-4,Perfluorobutanoic acid,PFCA,0,0,0,0,1,0,2.8,1,C4HF7O2,214.04,2.2,37.3,1,9,2,13,217
