pmid,title,journal,year,compounds,endpoints,values,source
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma: a multi-omics and computational toxicology approach.,Journal of translational medicine,2025,PFOA; PFOS,toxicity,,PMID:40317014
40359556,Unraveling the molecular mechanisms of PFOA in clear cell renal cell carcinoma through network toxicology and molecular docking strategies.,"International journal of surgery (London, England)",2025,PFOA,toxicity,,PMID:40359556
40367801,Integrative network and computational toxicology reveal the molecular mechanisms in PFOA-induced spermatogenic disorder.,Journal of environmental management,2025,PFOA,toxicity,,PMID:40367801
33751946,Epigenetic changes by per- and polyfluoroalkyl substances (PFAS).,"Environmental pollution (Barking, Essex : 1987)",2021,PFOA; PFOS,toxicity,,PMID:33751946
40465018,"Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substances (PFAS) on breast cancer by integrating network toxicology, single-cell sequencing, spatial transcriptomics, and molecular simulation.",Functional & integrative genomics,2025,PFOA; PFOS,toxicity,,PMID:40465018
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pathways of perfluorinated and polyfluoroalkyl substances (PFAS): An integrated network toxicology and molecular docking strategy.,Heliyon,2024,PFOA; PFOS; PFHXS,toxicity,,PMID:39286118
40580631,Multi-level evidence reveals PANK2 as a potential target of PFOA/PFOS-induced bone metabolism disruption: From network toxicology to in vitro validation.,Ecotoxicology and environmental safety,2025,PFOA; PFOS,toxicity,,PMID:40580631
40925179,"Integration of network toxicology, machine learning and single-cell sequencing reveals the effects of soil pollutants on prostate cancer.",Ecotoxicology and environmental safety,2025,PFOA; PFOS,toxicity,,PMID:40925179
29779582,Animal models of endocrine disruption.,Best practice & research. Clinical endocrinology & metabolism,2018,,toxicity,,PMID:29779582
39492895,Analyzing the impact of perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS) on the reproductive system using network toxicology and molecular docking.,Heliyon,2024,PFOA; PFOS,toxicity,,PMID:39492895
40806648,Perfluoroalkyl Substance (PFAS) Mixtures Drive Rheumatoid Arthritis Risk Through Immunosuppression: Integrating Epidemiology and Mechanistic Evidence.,International journal of molecular sciences,2025,PFOA; PFOS; PFNA; PFHXS,SR-p53; toxicity,,PMID:40806648
40784096,PFOA exposure promotes prostate cancer progression by enhancing autophagy through m,Ecotoxicology and environmental safety,2025,PFOA,BCF,,PMID:40784096
41151691,Network toxicology and molecular simulation identify key genes and pathways in PFAS-induced premature ovarian insufficiency.,"Reproductive toxicology (Elmsford, N.Y.)",2025,PFOA; PFOS,toxicity,,PMID:41151691
38400646,Exposure to per- and polyfluoroalkyl substances and breast cancer risk: a systematic review and meta-analysis of epidemiologic studies.,American journal of epidemiology,2024,PFOA; PFOS,toxicity,,PMID:38400646
36731186,High-content analysis shows synergistic effects of low perfluorooctanoic acid (PFOS) and perfluorooctane sulfonic acid (PFOA) mixture concentrations on human breast epithelial cell carcinogenesis.,Environment international,2023,PFOA; PFOS,SR-p53; toxicity,,PMID:36731186
41492385,"Per- and polyfluoroalkyl substances exposure and endometriosis risk: Evidence from epidemiologic, network toxicology, and molecular docking.",iScience,2025,PFOA; PFOS,toxicity,,PMID:41492385
40691870,"Predicting the mechanisms and targets of PFOA nephrotoxicity via network toxicology, Mendelian randomization, molecular docking and molecular dynamics simulation.",Toxicology mechanisms and methods,2025,PFOA,toxicity,,PMID:40691870
41108957,Perfluorooctanesulfonic acid (PFOS) exposure and multiple sclerosis: Evidence of association and mechanistic insights.,Ecotoxicology and environmental safety,2025,PFOA; PFOS,toxicity,,PMID:41108957
