pmid,title,journal,year,compound,endpoint,activity,evidence
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma:,Journal of translational medicine,2025,PFOA,NR-AR,1.0,"positive_kw=3, negative_kw=0"
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma:,Journal of translational medicine,2025,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma:,Journal of translational medicine,2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma:,Journal of translational medicine,2025,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
40359556,Unraveling the molecular mechanisms of PFOA in clear cell renal cell carcinoma t,"International journal of surgery (London, England)",2025,PFOA,NR-AR,1.0,"positive_kw=4, negative_kw=0"
40359556,Unraveling the molecular mechanisms of PFOA in clear cell renal cell carcinoma t,"International journal of surgery (London, England)",2025,PFOA,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
40367801,Integrative network and computational toxicology reveal the molecular mechanisms,Journal of environmental management,2025,PFOA,NR-AR,1.0,"positive_kw=3, negative_kw=0"
40367801,Integrative network and computational toxicology reveal the molecular mechanisms,Journal of environmental management,2025,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
33751946,Epigenetic changes by per- and polyfluoroalkyl substances (PFAS).,"Environmental pollution (Barking, Essex : 1987)",2021,PFOA,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
33751946,Epigenetic changes by per- and polyfluoroalkyl substances (PFAS).,"Environmental pollution (Barking, Essex : 1987)",2021,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
40465018,Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substa,Functional & integrative genomics,2025,PFOA,NR-AR,1.0,"positive_kw=6, negative_kw=0"
40465018,Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substa,Functional & integrative genomics,2025,PFOA,hepatotoxicity,1.0,"positive_kw=6, negative_kw=0"
40465018,Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substa,Functional & integrative genomics,2025,PFOA,immunotoxicity,1.0,"positive_kw=6, negative_kw=0"
40465018,Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substa,Functional & integrative genomics,2025,PFOS,NR-AR,1.0,"positive_kw=6, negative_kw=0"
40465018,Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substa,Functional & integrative genomics,2025,PFOS,hepatotoxicity,1.0,"positive_kw=6, negative_kw=0"
40465018,Analyzing the potential targets and mechanism of per- and polyfluoroalkyl substa,Functional & integrative genomics,2025,PFOS,immunotoxicity,1.0,"positive_kw=6, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFOA,NR-AR,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFOA,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFOA,endocrine,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFOS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFOS,endocrine,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFHxS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFHxS,hepatotoxicity,1.0,"positive_kw=4, negative_kw=0"
39286118,Exploring the environmental contamination toxicity and potential carcinogenic pa,Heliyon,2024,PFHxS,endocrine,1.0,"positive_kw=4, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFOA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFOS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFNA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFDA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFHxA,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFBS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,PFHxS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
35752307,"In vitro activity of a panel of per- and polyfluoroalkyl substances (PFAS), fatt",Toxicology and applied pharmacology,2022,GenX,NR-AR,1.0,"positive_kw=1, negative_kw=0"
40580631,Multi-level evidence reveals PANK2 as a potential target of PFOA/PFOS-induced bo,Ecotoxicology and environmental safety,2025,PFOA,NR-AR,1.0,"positive_kw=2, negative_kw=0"
40580631,Multi-level evidence reveals PANK2 as a potential target of PFOA/PFOS-induced bo,Ecotoxicology and environmental safety,2025,PFOA,hepatotoxicity,1.0,"positive_kw=2, negative_kw=0"
40580631,Multi-level evidence reveals PANK2 as a potential target of PFOA/PFOS-induced bo,Ecotoxicology and environmental safety,2025,PFOS,NR-AR,1.0,"positive_kw=2, negative_kw=0"
